rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Eduardo Bauermann,86970,3,327,True,0.9,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Zagueiro,zag
12,Nathan,87009,4,282,True,1.2,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
12,Matheus Peixoto,87098,5,286,True,1.4,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
12,Pedro Henrique,87225,3,293,True,0.5,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Zagueiro,zag
12,Willian Maranhão,87262,4,373,True,2.6,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Meia,mei
12,Kannemann,87342,3,284,True,3.8,1,1,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
12,Messias,87402,3,354,True,11.5,0,1,0,1,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Ceará,Zagueiro,zag
12,Vitor Bueno,87552,5,276,True,-0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Atacante,ata
12,Tréllez,87679,5,292,True,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Atacante,ata
12,Anderson Leite,87691,4,315,True,0.6,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Meia,mei
12,Yago Felipe,87747,4,266,True,-0.5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Meia,mei
12,Arrascaeta,87863,4,262,True,9.7,0,3,0,2,6,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,Flamengo,Meia,mei
12,Matheus Vargas,87929,4,356,True,1.1,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
12,Gustavo Scarpa,87999,4,275,True,7.1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Palmeiras,Meia,mei
12,Júnior Alonso,88312,3,282,True,-2.8,1,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Zagueiro,zag
12,Aderlan,88423,2,280,True,6.9,0,5,4,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bragantino,Lateral,lat
12,Marlon,88427,4,354,True,0.3,1,0,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ceará,Meia,mei
12,Buiú,88544,2,354,True,4.4,1,1,1,2,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Ceará,Lateral,lat
12,Lucas Crispim,88597,4,356,True,3.7,0,1,5,3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
12,Bruno Pacheco,90061,2,354,True,5.6,0,2,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ceará,Lateral,lat
12,David,90309,5,356,True,-2.7,1,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Atacante,ata
12,Moisés,90444,2,285,True,4.0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Internacional,Lateral,lat
12,Yuri Lima,90569,4,1371,True,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
12,Fabrício Bruno,90768,3,280,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Zagueiro,zag
